SNO,Protein A,Protein B,Co-Expression,Experimentally Determined Interaction,Automated Textmining,Combined Score,Disease Associated,BioGRID Interaction ID,Entrez Gene Interactor A,Entrez Gene Interactor B,BioGRID ID Interactor A,BioGRID ID Interactor B,Experimental System,Pubmed ID,Author
2529,HSP90AB1,HSPA8,0.831,0.807,0.999,0.999,Parkinson's,1263374,3326,3312,109558,109544,Co-fractionation,26344197,Wan C (2015)
2530,APOA1,APOC3,0.83,0.077,0.998,0.999,Alzheimers,825493,335,345,106832,106842,Affinity Capture-MS,15174051,Zhou M (2004)
2531,MRPS14,MRPS16,0.829,0.992,0.531,0.999,Friedreich ataxia,2951260,63931,51021,121999,119227,Affinity Capture-MS,24981860,Marcon E (2014)
2532,CS,ACO2,0.827,0.377,0.904,0.999,Friedreich ataxia,2984443,1431,50,107818,106566,Proximity Label-MS,34079125,Go CD (2021)
2533,PSMD11,PSMD2,0.825,0.998,0.821,0.999,Multiple Sclerosis,741158,5717,5708,111689,111681,Co-fractionation,22939629,Havugimana PC (2012)
2534,MRPL3,MRPL17,0.825,0.995,0.315,0.999,Friedreich ataxia,745708,11222,63875,116390,121968,Co-fractionation,22939629,Havugimana PC (2012)
2535,PSMA5,PSMD11,0.825,0.994,0.592,0.999,Multiple Sclerosis,741871,5686,5717,111659,111689,Co-fractionation,22939629,Havugimana PC (2012)
2536,MRPL2,MRPL17,0.825,0.994,0.527,0.999,Friedreich ataxia,1264769,51069,63875,119260,121968,Co-fractionation,26344197,Wan C (2015)
2537,CXCL10,CXCL11,0.824,0.994,0.467,0.999,Amyotrophic Lateral Sclerosis (ALS),2862105,3627,6373,109839,112275,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2538,PSMA6,PSMD11,0.824,0.993,0.397,0.999,Multiple Sclerosis,742806,5687,5717,111660,111689,Co-fractionation,22939629,Havugimana PC (2012)
2539,NDUFS6,NDUFV1,0.823,0.998,0.971,0.999,Alzheimers,1442417,4726,4723,110805,110802,Affinity Capture-MS,24344204,Guarani V (2014)
2540,MRPL13,MRPS9,0.822,0.992,0.349,0.999,Friedreich ataxia,745659,28998,64965,118817,122360,Co-fractionation,22939629,Havugimana PC (2012)
2541,MRPL3,MRPS9,0.821,0.992,0.353,0.999,Friedreich ataxia,744781,11222,64965,116390,122360,Co-fractionation,22939629,Havugimana PC (2012)
2542,NDUFS3,NDUFS6,0.816,0.998,0.955,0.999,Alzheimers,1178974,4722,4726,110801,110805,Affinity Capture-MS,26186194,Huttlin EL (2015)
2543,PSMC3,PSMD11,0.816,0.997,0.782,0.999,Multiple Sclerosis,741142,5702,5717,111675,111689,Co-fractionation,22939629,Havugimana PC (2012)
2544,MRPS11,MRPS6,0.815,0.993,0.315,0.999,Friedreich ataxia,3186040,64963,64968,122359,122361,Affinity Capture-MS,33961781,Huttlin EL (2021)
2545,SUCLG1,SUCLA2,0.814,0.995,0.99,0.999,Friedreich ataxia,744285,8802,8803,114330,114331,Co-fractionation,22939629,Havugimana PC (2012)
2546,DLAT,DLD,0.814,0.909,0.987,0.999,Friedreich ataxia,1261011,1737,1738,108081,108082,Co-fractionation,26344197,Wan C (2015)
2547,NDUFB11,NDUFB4,0.81,0.968,0.876,0.999,Alzheimers,2252127,54539,4710,120026,110790,Affinity Capture-MS,28514442,Huttlin EL (2017)
2548,PSMC1,PSMD11,0.809,0.997,0.804,0.999,Multiple Sclerosis,741141,5700,5717,111673,111689,Co-fractionation,22939629,Havugimana PC (2012)
2549,MRPS6,MRPS14,0.809,0.993,0.503,0.999,Friedreich ataxia,3152780,64968,63931,122361,121999,Affinity Capture-MS,33961781,Huttlin EL (2021)
2550,NDUFA7,NDUFS6,0.807,0.998,0.848,0.999,Alzheimers,3141007,4701,4726,110781,110805,Affinity Capture-MS,33961781,Huttlin EL (2021)
2551,MRPL33,MRPL22,0.805,0.995,0.262,0.999,Friedreich ataxia,3130219,9553,29093,114925,118862,Affinity Capture-MS,33961781,Huttlin EL (2021)
2552,APOA1,APOB,0.804,0.603,0.999,0.999,Alzheimers,685470,335,338,106832,106835,Affinity Capture-Western,19164805,Rutledge AC (2009)
2553,PSMA5,PSMC2,0.8,0.997,0.768,0.999,Multiple Sclerosis,1267920,5686,5701,111659,111674,Co-fractionation,26344197,Wan C (2015)
2554,APOA1,APOA2,0.798,0.618,0.999,0.999,Alzheimers,853039,335,336,106832,106833,Reconstituted Complex,10722751,Clay MA (2000)
2555,NDUFS3,NDUFB4,0.793,0.998,0.721,0.999,Alzheimers,1178983,4722,4710,110801,110790,Affinity Capture-MS,26186194,Huttlin EL (2015)
2556,NDUFB11,NDUFC2,0.793,0.979,0.663,0.999,Alzheimers,2224091,54539,4718,120026,110798,Affinity Capture-MS,28514442,Huttlin EL (2017)
2557,MRPS10,MRPS14,0.792,0.997,0.604,0.999,Friedreich ataxia,745970,55173,63931,120472,121999,Co-fractionation,22939629,Havugimana PC (2012)
2558,DLST,OGDH,0.791,0.953,0.999,0.999,Friedreich ataxia,3443057,1743,4967,108087,111017,Co-fractionation,35831314,Havugimana PC (2022)
2559,MRPL27,MRPL22,0.79,0.993,0.315,0.999,Friedreich ataxia,3160568,51264,29093,119418,118862,Affinity Capture-MS,33961781,Huttlin EL (2021)
2560,CXCL9,CXCL11,0.787,0.994,0.451,0.999,Amyotrophic Lateral Sclerosis (ALS),2862210,4283,6373,110429,112275,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2561,PSMA5,PSMD4,0.786,0.997,0.764,0.999,Multiple Sclerosis,742959,5686,5710,111659,111683,Co-fractionation,22939629,Havugimana PC (2012)
2562,NDUFB8,NDUFV1,0.785,0.99,0.707,0.999,Alzheimers,1265444,4714,4723,110794,110802,Co-fractionation,26344197,Wan C (2015)
2563,NDUFA7,NDUFB8,0.784,0.915,0.904,0.999,Alzheimers,3101389,4701,4714,110781,110794,Affinity Capture-MS,33961781,Huttlin EL (2021)
2564,HNRNPA2B1,HNRNPC,0.784,0.329,0.993,0.999,Multiple Sclerosis,3358295,3181,3183,109422,109424,Affinity Capture-MS,35271311,Cho NH (2022)
2565,PSMD12,PSMD2,0.781,0.997,0.818,0.999,Multiple Sclerosis,741159,5718,5708,111690,111681,Co-fractionation,22939629,Havugimana PC (2012)
2566,MRPL41,MRPL17,0.781,0.995,0.35,0.999,Friedreich ataxia,2269250,64975,63875,122363,121968,Affinity Capture-MS,28514442,Huttlin EL (2017)
2567,NDUFS4,NDUFB4,0.78,0.998,0.632,0.999,Alzheimers,1442211,4724,4710,110803,110790,Affinity Capture-MS,24344204,Guarani V (2014)
2568,MRPS11,MRPS14,0.779,0.996,0.617,0.999,Friedreich ataxia,745773,64963,63931,122359,121999,Co-fractionation,22939629,Havugimana PC (2012)
2569,ILF2,ILF3,0.776,0.922,0.988,0.999,Multiple Sclerosis,521335,3608,3609,109821,109822,Affinity Capture-Western,17389650,Shi L (2007)
2570,HNRNPA1,HNRNPC,0.776,0.834,0.989,0.999,Multiple Sclerosis,424791,3178,3183,109420,109424,Affinity Capture-MS,17643375,Jeronimo C (2007)
2571,DLD,PDHA1,0.774,0.825,0.99,0.999,Friedreich ataxia,1187162,1738,5160,108082,111186,Affinity Capture-MS,26186194,Huttlin EL (2015)
2572,MRPS11,MRPS10,0.767,0.995,0.562,0.999,Friedreich ataxia,2272074,64963,55173,122359,120472,Affinity Capture-MS,28514442,Huttlin EL (2017)
2573,PSMC1,PSMD2,0.761,0.999,0.964,0.999,Multiple Sclerosis,122083,5700,5708,111673,111681,Two-hybrid,16189514,Rual JF (2005)
2574,NDUFA11,NDUFB11,0.761,0.998,0.683,0.999,Alzheimers,1442359,126328,54539,125981,120026,Affinity Capture-MS,24344204,Guarani V (2014)
2575,MRPL13,MRPL4,0.758,0.997,0.711,0.999,Friedreich ataxia,3040197,28998,51073,118817,119264,Affinity Capture-MS,33961781,Huttlin EL (2021)
2576,OGDHL,DLST,0.755,0.935,0.978,0.999,Friedreich ataxia,3169192,55753,1743,120871,108087,Affinity Capture-MS,33961781,Huttlin EL (2021)
2577,MRPL13,MRPL22,0.752,0.997,0.204,0.999,Friedreich ataxia,3094512,28998,29093,118817,118862,Affinity Capture-MS,33961781,Huttlin EL (2021)
2578,NDUFS4,NDUFV1,0.748,0.999,0.977,0.999,Alzheimers,1265446,4724,4723,110803,110802,Co-fractionation,26344197,Wan C (2015)
2579,PSMD2,PSMD4,0.748,0.997,0.892,0.999,Multiple Sclerosis,741226,5708,5710,111681,111683,Co-fractionation,22939629,Havugimana PC (2012)
2580,PSMC2,PSMD12,0.746,0.997,0.813,0.999,Multiple Sclerosis,741146,5701,5718,111674,111690,Co-fractionation,22939629,Havugimana PC (2012)
2581,NDUFB11,NDUFS4,0.746,0.957,0.696,0.999,Alzheimers,2219621,54539,4724,120026,110803,Affinity Capture-MS,28514442,Huttlin EL (2017)
2582,MRPS14,MRPS9,0.744,0.997,0.607,0.999,Friedreich ataxia,2458144,63931,64965,121999,122360,Positive Genetic,30033366,Horlbeck MA (2018)
2583,PSMA1,PSMC2,0.743,0.997,0.783,0.999,Multiple Sclerosis,559079,5682,5701,111655,111674,Affinity Capture-Western,21733848,Isakov E (2011)
2584,NDUFB4,NDUFV2,0.742,0.974,0.648,0.999,Alzheimers,744052,4710,4729,110790,110807,Co-fractionation,22939629,Havugimana PC (2012)
2585,NDUFA11,NDUFS6,0.741,0.998,0.784,0.999,Alzheimers,1442368,126328,4726,125981,110805,Affinity Capture-MS,24344204,Guarani V (2014)
2586,MRPL13,MRPL23,0.741,0.995,0.348,0.999,Friedreich ataxia,745780,28998,6150,118817,112070,Co-fractionation,22939629,Havugimana PC (2012)
2587,MRPS2,MRPS16,0.74,0.993,0.664,0.999,Friedreich ataxia,744807,51116,51021,119304,119227,Co-fractionation,22939629,Havugimana PC (2012)
2588,MRPS11,MRPS9,0.738,0.997,0.577,0.999,Friedreich ataxia,1195356,64963,64965,122359,122360,Affinity Capture-MS,26186194,Huttlin EL (2015)
2589,MRPL27,MRPL16,0.737,0.996,0.251,0.999,Friedreich ataxia,3192375,51264,54948,119418,120287,Affinity Capture-MS,33961781,Huttlin EL (2021)
2590,MRPS15,MRPS6,0.734,0.997,0.445,0.999,Friedreich ataxia,2254961,64960,64968,122358,122361,Affinity Capture-MS,28514442,Huttlin EL (2017)
2591,NDUFV1,UQCRFS1,0.732,0.99,0.815,0.999,Friedreich ataxia,1274182,4723,7386,110802,113232,Co-fractionation,26344197,Wan C (2015)
2592,NDUFB1,NDUFB4,0.732,0.913,0.845,0.999,Alzheimers,2458266,4707,4710,110787,110790,Positive Genetic,30033366,Horlbeck MA (2018)
2593,NDUFA7,NDUFC2,0.73,0.919,0.68,0.999,Alzheimers,3058610,4701,4718,110781,110798,Affinity Capture-MS,33961781,Huttlin EL (2021)
2594,MRPS5,MRPS10,0.729,0.994,0.533,0.999,Friedreich ataxia,746079,64969,55173,122362,120472,Co-fractionation,22939629,Havugimana PC (2012)
2595,PSMA6,PSMD12,0.728,0.997,0.773,0.999,Multiple Sclerosis,742628,5687,5718,111660,111690,Co-fractionation,22939629,Havugimana PC (2012)
2596,MRPS2,MRPS9,0.727,0.997,0.383,0.999,Friedreich ataxia,744823,51116,64965,119304,122360,Co-fractionation,22939629,Havugimana PC (2012)
2597,HSP90AA1,HSPA8,0.725,0.884,0.999,0.999,Parkinson's,556524,3320,3312,109552,109544,Affinity Capture-Western,20039095,Giommarelli C (2010)
2598,PSMA1,PSMD12,0.724,0.996,0.624,0.999,Multiple Sclerosis,743550,5682,5718,111655,111690,Co-fractionation,22939629,Havugimana PC (2012)
2599,PSMA6,PSMC1,0.724,0.996,0.566,0.999,Multiple Sclerosis,668762,5687,5700,111660,111673,Affinity Capture-Western,16045761,Huang X (2005)
2600,PSMA4,PSMC1,0.722,0.999,0.63,0.999,Multiple Sclerosis,3364206,5685,5700,111658,111673,Affinity Capture-MS,35271311,Cho NH (2022)
2601,DAP3,MRPS5,0.721,0.997,0.52,0.999,Friedreich ataxia,1264913,7818,64969,113587,122362,Co-fractionation,26344197,Wan C (2015)
2602,NDUFS3,NDUFAB1,0.719,0.991,0.6,0.999,Friedreich ataxia,1525715,4722,4706,110801,110786,Affinity Capture-MS,27499296,Floyd BJ (2016)
2603,NDUFC2,NDUFS6,0.719,0.943,0.743,0.999,Alzheimers,3054097,4718,4726,110798,110805,Affinity Capture-MS,33961781,Huttlin EL (2021)
2604,PSMA5,PSMD2,0.718,0.995,0.842,0.999,Multiple Sclerosis,742724,5686,5708,111659,111681,Co-fractionation,22939629,Havugimana PC (2012)
2605,NDUFA7,NDUFA3,0.718,0.922,0.769,0.999,Alzheimers,3045316,4701,4696,110781,110776,Affinity Capture-MS,33961781,Huttlin EL (2021)
2606,MRPS11,MRPS15,0.713,0.996,0.559,0.999,Friedreich ataxia,2231667,64963,64960,122359,122358,Affinity Capture-MS,28514442,Huttlin EL (2017)
2607,NONO,SFPQ,0.711,0.991,0.983,0.999,Multiple Sclerosis,516142,4841,6421,110904,112319,Reconstituted Complex,18042045,Ito T (2008)
2608,MRPS12,MRPS10,0.709,0.991,0.281,0.999,Friedreich ataxia,2854427,6183,55173,112098,120472,Proximity Label-MS,32877691,Antonicka H (2020)
2609,MRPS15,MRPS10,0.707,0.995,0.531,0.999,Friedreich ataxia,2242011,64960,55173,122358,120472,Affinity Capture-MS,28514442,Huttlin EL (2017)
2610,PSMA6,PSMD4,0.706,0.997,0.523,0.999,Multiple Sclerosis,664573,5687,5710,111660,111683,Co-fractionation,19781552,Hendil KB (2009)
2611,DLAT,PDHA1,0.701,0.84,0.984,0.999,Friedreich ataxia,743498,1737,5160,108081,111186,Co-fractionation,22939629,Havugimana PC (2012)
2612,MRPS12,MRPS5,0.699,0.991,0.449,0.999,Friedreich ataxia,2854448,6183,64969,112098,122362,Proximity Label-MS,32877691,Antonicka H (2020)
2613,CYCS,CYC1,0.698,0.861,0.992,0.999,Friedreich ataxia,281918,54205,1537,119922,107917,Biochemical Activity,6262312,Smith HT (1981)
2614,NDUFC2,NDUFV2,0.697,0.942,0.634,0.999,Alzheimers,3054100,4718,4729,110798,110807,Affinity Capture-MS,33961781,Huttlin EL (2021)
2615,NDUFA7,NDUFB6,0.697,0.938,0.673,0.999,Alzheimers,3058608,4701,4712,110781,110792,Affinity Capture-MS,33961781,Huttlin EL (2021)
2616,MRPS11,MRPS5,0.693,0.997,0.509,0.999,Friedreich ataxia,2239466,64963,64969,122359,122362,Affinity Capture-MS,28514442,Huttlin EL (2017)
2617,MRPS14,MRPS5,0.693,0.991,0.539,0.999,Friedreich ataxia,2458143,63931,64969,121999,122362,Positive Genetic,30033366,Horlbeck MA (2018)
2618,NDUFA11,NDUFV1,0.692,0.998,0.863,0.999,Alzheimers,1442357,126328,4723,125981,110802,Affinity Capture-MS,24344204,Guarani V (2014)
2619,MRPS6,MRPS2,0.691,0.98,0.492,0.999,Friedreich ataxia,3060202,64968,51116,122361,119304,Affinity Capture-MS,33961781,Huttlin EL (2021)
2620,PSMA5,PSMD12,0.69,0.992,0.75,0.999,Multiple Sclerosis,742958,5686,5718,111659,111690,Co-fractionation,22939629,Havugimana PC (2012)
2621,U2AF1,U2AF2,0.689,0.997,0.999,0.999,Multiple Sclerosis,122144,7307,11338,113157,116466,Two-hybrid,16189514,Rual JF (2005)
2622,MRPS15,MRPS12,0.687,0.993,0.493,0.999,Friedreich ataxia,3192418,64960,6183,122358,112098,Affinity Capture-MS,33961781,Huttlin EL (2021)
2623,GOT2,MDH2,0.686,0.447,0.902,0.999,Friedreich ataxia,2628775,2806,4191,109068,110356,Co-fractionation,31536960,Moutaoufik MT (2019)
2624,NDUFS6,NDUFA3,0.683,0.928,0.505,0.999,Alzheimers,2261195,4726,4696,110805,110776,Affinity Capture-MS,28514442,Huttlin EL (2017)
2625,MRPS12,MRPS14,0.682,0.991,0.352,0.999,Friedreich ataxia,2854428,6183,63931,112098,121999,Proximity Label-MS,32877691,Antonicka H (2020)
2626,PSMC2,PSMD4,0.679,0.998,0.767,0.999,Multiple Sclerosis,669047,5701,5710,111674,111683,Co-fractionation,21628461,Kim YC (2011)
2627,NDUFA11,NDUFB6,0.675,0.998,0.546,0.999,Alzheimers,1442342,126328,4712,125981,110792,Affinity Capture-MS,24344204,Guarani V (2014)
2628,MRPS2,MRPS10,0.675,0.984,0.504,0.999,Friedreich ataxia,2945603,51116,55173,119304,120472,Affinity Capture-MS,24981860,Marcon E (2014)
2629,NDUFA7,NDUFB4,0.673,0.934,0.927,0.999,Alzheimers,3058606,4701,4710,110781,110790,Affinity Capture-MS,33961781,Huttlin EL (2021)
2630,MRPL13,MRPL3,0.672,0.997,0.457,0.999,Friedreich ataxia,3075718,28998,11222,118817,116390,Affinity Capture-MS,33961781,Huttlin EL (2021)
2631,MRPS14,MRPS15,0.668,0.995,0.507,0.999,Friedreich ataxia,3082168,63931,64960,121999,122358,Affinity Capture-MS,33961781,Huttlin EL (2021)
2632,MRPS15,MRPS5,0.667,0.997,0.574,0.999,Friedreich ataxia,2236149,64960,64969,122358,122362,Affinity Capture-MS,28514442,Huttlin EL (2017)
2633,HNRNPA2B1,HNRNPL,0.666,0.782,0.981,0.999,Multiple Sclerosis,279437,3181,3191,109422,109432,Affinity Capture-Western,10441480,Hamilton BJ (1999)
2634,PSMA4,PSMD11,0.663,0.998,0.616,0.999,Multiple Sclerosis,743782,5685,5717,111658,111689,Co-fractionation,22939629,Havugimana PC (2012)
2635,SNRNP70,SNRPG,0.663,0.992,0.73,0.999,Multiple Sclerosis,2638694,6625,6637,112509,112521,Affinity Capture-MS,29802200,Bishof I (2018)
2636,PSMD11,PSMD4,0.661,0.998,0.949,0.999,Multiple Sclerosis,741235,5717,5710,111689,111683,Co-fractionation,22939629,Havugimana PC (2012)
2637,MRPL3,MRPL4,0.65,0.997,0.347,0.999,Friedreich ataxia,744760,11222,51073,116390,119264,Co-fractionation,22939629,Havugimana PC (2012)
2638,MRPL2,MRPL4,0.647,0.997,0.384,0.999,Friedreich ataxia,745869,51069,51073,119260,119264,Co-fractionation,22939629,Havugimana PC (2012)
2639,PSMA4,PSMC2,0.642,0.992,0.69,0.999,Multiple Sclerosis,3440745,5685,5701,111658,111674,Co-fractionation,35831314,Havugimana PC (2022)
2640,SNRNP70,SNRPD3,0.638,0.995,0.853,0.999,Multiple Sclerosis,742862,6625,6634,112509,112518,Co-fractionation,22939629,Havugimana PC (2012)
2641,MRPL23,MRPL41,0.635,0.997,0.475,0.999,Friedreich ataxia,745912,6150,64975,112070,122363,Co-fractionation,22939629,Havugimana PC (2012)
2642,MRPL4,MRPL16,0.633,0.996,0.321,0.999,Friedreich ataxia,1183950,51073,54948,119264,120287,Affinity Capture-MS,26186194,Huttlin EL (2015)
2643,NDUFA1,NDUFS6,0.629,0.943,0.894,0.999,Alzheimers,3066194,4694,4726,110774,110805,Affinity Capture-MS,33961781,Huttlin EL (2021)
2644,NDUFV3,NDUFA3,0.629,0.938,0.59,0.999,Alzheimers,3092890,4731,4696,110809,110776,Affinity Capture-MS,33961781,Huttlin EL (2021)
2645,MRPL4,MRPL22,0.626,0.996,0.341,0.999,Friedreich ataxia,1183931,51073,29093,119264,118862,Affinity Capture-MS,26186194,Huttlin EL (2015)
2646,NDUFB11,NDUFV1,0.623,0.966,0.637,0.999,Alzheimers,2231453,54539,4723,120026,110802,Affinity Capture-MS,28514442,Huttlin EL (2017)
2647,MRPL47,MRPL22,0.62,0.997,0.175,0.999,Friedreich ataxia,1195322,57129,29093,121392,118862,Affinity Capture-MS,26186194,Huttlin EL (2015)
2648,MRPS2,MRPS5,0.62,0.996,0.662,0.999,Friedreich ataxia,1181491,51116,64969,119304,122362,Affinity Capture-MS,26186194,Huttlin EL (2015)
2649,MRPL23,MRPL47,0.619,0.997,0.605,0.999,Friedreich ataxia,3136341,6150,57129,112070,121392,Affinity Capture-MS,33961781,Huttlin EL (2021)
2650,MRPS12,MRPS2,0.619,0.968,0.293,0.999,Friedreich ataxia,2854434,6183,51116,112098,119304,Proximity Label-MS,32877691,Antonicka H (2020)
2651,PSMC2,PSMD11,0.618,0.997,0.779,0.999,Multiple Sclerosis,741143,5701,5717,111674,111689,Co-fractionation,22939629,Havugimana PC (2012)
2652,MRPS14,MRPS2,0.614,0.992,0.614,0.999,Friedreich ataxia,2946346,63931,51116,121999,119304,Affinity Capture-MS,24981860,Marcon E (2014)
2653,GRPEL1,HSPA9,0.599,0.958,0.942,0.999,Friedreich ataxia,2223124,80273,3313,123210,109545,Affinity Capture-MS,28514442,Huttlin EL (2017)
2654,PSMA5,PSMC3,0.596,0.997,0.825,0.999,Multiple Sclerosis,1267940,5686,5702,111659,111675,Co-fractionation,26344197,Wan C (2015)
2655,NDUFA7,NDUFS4,0.595,0.998,0.792,0.999,Alzheimers,3124309,4701,4724,110781,110803,Affinity Capture-MS,33961781,Huttlin EL (2021)
2656,MRPS15,MRPS2,0.594,0.986,0.42,0.999,Friedreich ataxia,3188362,64960,51116,122358,119304,Affinity Capture-MS,33961781,Huttlin EL (2021)
2657,MRPS11,MRPS2,0.59,0.991,0.587,0.999,Friedreich ataxia,2252834,64963,51116,122359,119304,Affinity Capture-MS,28514442,Huttlin EL (2017)
2658,NDUFA11,NDUFB4,0.585,0.999,0.641,0.999,Alzheimers,1442353,126328,4710,125981,110790,Affinity Capture-MS,24344204,Guarani V (2014)
2659,PSMC2,PSMD2,0.583,0.999,0.877,0.999,Multiple Sclerosis,668512,5701,5708,111674,111681,Affinity Capture-Western,20810900,Um JW (2010)
2660,MRPL47,MRPL41,0.576,0.997,0.424,0.999,Friedreich ataxia,1195321,57129,64975,121392,122363,Affinity Capture-MS,26186194,Huttlin EL (2015)
2661,MRPL13,MRPL47,0.573,0.997,0.404,0.999,Friedreich ataxia,3042171,28998,57129,118817,121392,Affinity Capture-MS,33961781,Huttlin EL (2021)
2662,PSMA6,PSMC2,0.573,0.995,0.701,0.999,Multiple Sclerosis,1267921,5687,5701,111660,111674,Co-fractionation,26344197,Wan C (2015)
2663,NDUFA1,NDUFB4,0.573,0.923,0.659,0.999,Alzheimers,3191135,4694,4710,110774,110790,Affinity Capture-MS,33961781,Huttlin EL (2021)
2664,NDUFB6,NDUFV1,0.573,0.918,0.856,0.999,Alzheimers,744114,4712,4723,110792,110802,Co-fractionation,22939629,Havugimana PC (2012)
2665,CS,MDH2,0.566,0.548,0.854,0.999,Friedreich ataxia,2849935,1431,4191,107818,110356,Proximity Label-MS,32877691,Antonicka H (2020)
2666,MRPL13,MRPL41,0.563,0.997,0.495,0.999,Friedreich ataxia,745950,28998,64975,118817,122363,Co-fractionation,22939629,Havugimana PC (2012)
2667,NDUFS6,NDUFV3,0.558,0.998,0.93,0.999,Alzheimers,1442410,4726,4731,110805,110809,Affinity Capture-MS,24344204,Guarani V (2014)
2668,NDUFB11,NDUFA3,0.558,0.955,0.752,0.999,Alzheimers,2245942,54539,4696,120026,110776,Affinity Capture-MS,28514442,Huttlin EL (2017)
2669,NDUFA1,NDUFB8,0.556,0.917,0.676,0.999,Alzheimers,3131850,4694,4714,110774,110794,Affinity Capture-MS,33961781,Huttlin EL (2021)
2670,NDUFA11,NDUFS4,0.555,0.998,0.735,0.999,Alzheimers,1442341,126328,4724,125981,110803,Affinity Capture-MS,24344204,Guarani V (2014)
2671,MRPL19,MRPL47,0.554,0.997,0.403,0.999,Friedreich ataxia,1264848,9801,57129,115142,121392,Co-fractionation,26344197,Wan C (2015)
2672,PSMA4,PSMD2,0.533,0.995,0.693,0.999,Multiple Sclerosis,743568,5685,5708,111658,111681,Co-fractionation,22939629,Havugimana PC (2012)
2673,PSMA1,PSMC1,0.529,0.998,0.82,0.999,Multiple Sclerosis,3364138,5682,5700,111655,111673,Affinity Capture-MS,35271311,Cho NH (2022)
2674,HSP90AA1,HSPA4,0.529,0.876,0.999,0.999,Alzheimers,459035,3320,3308,109552,109540,Affinity Capture-Western,16314389,Kim TS (2006)
2675,PSMA4,PSMC3,0.526,0.989,0.889,0.999,Multiple Sclerosis,3364199,5685,5702,111658,111675,Affinity Capture-MS,35271311,Cho NH (2022)
2676,NDUFA7,NDUFV1,0.524,0.974,0.813,0.999,Alzheimers,3124314,4701,4723,110781,110802,Affinity Capture-MS,33961781,Huttlin EL (2021)
2677,NDUFA1,NDUFB1,0.522,0.94,0.788,0.999,Alzheimers,3109911,4694,4707,110774,110787,Affinity Capture-MS,33961781,Huttlin EL (2021)
2678,NDUFB11,NDUFA1,0.516,0.937,0.789,0.999,Alzheimers,3183780,54539,4694,120026,110774,Affinity Capture-MS,33961781,Huttlin EL (2021)
2679,MRPS35,MRPS14,0.514,0.992,0.115,0.999,Friedreich ataxia,2950472,60488,63931,121919,121999,Affinity Capture-MS,24981860,Marcon E (2014)
2680,NDUFA11,NDUFS3,0.513,0.998,0.727,0.999,Alzheimers,1442361,126328,4722,125981,110801,Affinity Capture-MS,24344204,Guarani V (2014)
2681,HSP90AB1,HSPA4,0.509,0.716,0.999,0.999,Parkinson's,1263332,3326,3308,109558,109540,Co-fractionation,26344197,Wan C (2015)
2682,NDUFA1,NDUFA3,0.493,0.92,0.756,0.999,Alzheimers,3137749,4694,4696,110774,110776,Affinity Capture-MS,33961781,Huttlin EL (2021)
2683,NDUFA7,NDUFS3,0.492,0.999,0.474,0.999,Alzheimers,3124315,4701,4722,110781,110801,Affinity Capture-MS,33961781,Huttlin EL (2021)
2684,MRPL46,MRPL40,0.492,0.997,0.592,0.999,Friedreich ataxia,1183470,26589,64976,117757,122364,Affinity Capture-MS,26186194,Huttlin EL (2015)
2685,LSM4,SNRPD3,0.488,0.981,0.433,0.999,Multiple Sclerosis,3095245,25804,6634,117336,112518,Affinity Capture-MS,33961781,Huttlin EL (2021)
2686,PSMA6,PSMC3,0.487,0.995,0.763,0.999,Multiple Sclerosis,1267941,5687,5702,111660,111675,Co-fractionation,26344197,Wan C (2015)
2687,CCL2,CXCL8,0.487,0.994,0.948,0.999,Amyotrophic Lateral Sclerosis (ALS),2862011,6347,3576,112251,109790,Reconstituted Complex,28381538,von Hundelshausen P (2017)
2688,PSMA1,PSMD2,0.475,0.995,0.821,0.999,Multiple Sclerosis,559077,5682,5708,111655,111681,Affinity Capture-Western,21733848,Isakov E (2011)
2689,NDUFA1,NDUFA7,0.472,0.932,0.766,0.999,Alzheimers,3109914,4694,4701,110774,110781,Affinity Capture-MS,33961781,Huttlin EL (2021)
2690,NDUFA1,NDUFB6,0.468,0.94,0.685,0.999,Alzheimers,3131853,4694,4712,110774,110792,Affinity Capture-MS,33961781,Huttlin EL (2021)
2691,MRPS11,MRPS35,0.462,0.995,0.572,0.999,Friedreich ataxia,2242030,64963,60488,122359,121919,Affinity Capture-MS,28514442,Huttlin EL (2017)
2692,DHX9,HNRNPU,0.461,0.638,0.965,0.999,Multiple Sclerosis,837730,1660,3192,108025,109433,Affinity Capture-Western,22751105,Chu L (2012)
2693,SRSF2,SRSF3,0.456,0.996,0.526,0.999,Multiple Sclerosis,828153,6427,6428,112325,112326,Two-hybrid,22365833,Hegele A (2012)
2694,NDUFA1,NDUFB2,0.455,0.919,0.592,0.999,Alzheimers,3166240,4694,4708,110774,110788,Affinity Capture-MS,33961781,Huttlin EL (2021)
2695,SNRPC,SNRPD3,0.45,0.991,0.923,0.999,Multiple Sclerosis,2644579,6631,6634,112515,112518,Affinity Capture-MS,29884807,Chi B (2018)
2696,NDUFA9,NDUFAB1,0.446,0.999,0.569,0.999,Friedreich ataxia,1442329,4704,4706,110784,110786,Affinity Capture-MS,24344204,Guarani V (2014)
2697,IDH3B,IDH3G,0.446,0.982,0.919,0.999,Friedreich ataxia,1189844,3420,3421,109646,109647,Affinity Capture-MS,26186194,Huttlin EL (2015)
